Line,Field,Expected,Found,Comments
2487,branch_division_id,varchar,1816.0,Max length is 4
2487,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2488,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2489,branch_division_id,varchar,810.0,Max length is 4
2489,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2490,branch_division_id,varchar,1853.0,Max length is 4
2490,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2491,branch_division_id,varchar,1851.0,Max length is 4
2491,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2492,branch_division_id,varchar,1853.0,Max length is 4
2492,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2493,branch_division_id,varchar,1852.0,Max length is 4
2493,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2494,branch_division_id,varchar,816.0,Max length is 4
2494,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2495,branch_division_id,varchar,1851.0,Max length is 4
2495,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2496,branch_division_id,varchar,1853.0,Max length is 4
2496,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2497,branch_division_id,varchar,1852.0,Max length is 4
2497,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2498,branch_division_id,varchar,1853.0,Max length is 4
2498,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2499,branch_division_id,varchar,1851.0,Max length is 4
2499,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2500,branch_division_id,varchar,815.0,Max length is 4
2500,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2501,branch_division_id,varchar,1851.0,Max length is 4
2501,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2502,branch_division_id,varchar,1852.0,Max length is 4
2502,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2503,branch_division_id,varchar,1852.0,Max length is 4
2503,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2504,branch_division_id,varchar,1853.0,Max length is 4
2504,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2505,branch_division_id,varchar,1853.0,Max length is 4
2505,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2506,branch_division_id,varchar,1853.0,Max length is 4
2506,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2507,branch_division_id,varchar,1814.0,Max length is 4
2507,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2508,branch_division_id,varchar,837.0,Max length is 4
2508,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2509,branch_division_id,varchar,723.0,Max length is 4
2509,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2510,branch_division_id,varchar,1853.0,Max length is 4
2510,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2511,branch_division_id,varchar,810.0,Max length is 4
2511,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2512,branch_division_id,varchar,810.0,Max length is 4
2512,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2513,branch_division_id,varchar,1853.0,Max length is 4
2513,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2514,branch_division_id,varchar,830.0,Max length is 4
2514,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2515,branch_division_id,varchar,819.0,Max length is 4
2515,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2516,branch_division_id,varchar,1853.0,Max length is 4
2516,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2517,branch_division_id,varchar,1121.0,Max length is 4
2517,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2518,branch_division_id,varchar,815.0,Max length is 4
2518,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2519,branch_division_id,varchar,1853.0,Max length is 4
2519,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2520,branch_division_id,varchar,723.0,Max length is 4
2520,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2521,branch_division_id,varchar,723.0,Max length is 4
2521,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2522,branch_division_id,varchar,723.0,Max length is 4
2522,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2523,branch_division_id,varchar,723.0,Max length is 4
2523,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2524,branch_division_id,varchar,1851.0,Max length is 4
2524,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2525,branch_division_id,varchar,827.0,Max length is 4
2525,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2526,branch_division_id,varchar,1851.0,Max length is 4
2526,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2527,branch_division_id,varchar,844.0,Max length is 4
2527,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2528,branch_division_id,varchar,1851.0,Max length is 4
2528,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2529,branch_division_id,varchar,827.0,Max length is 4
2529,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2530,branch_division_id,varchar,827.0,Max length is 4
2530,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2531,branch_division_id,varchar,1853.0,Max length is 4
2531,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2532,branch_division_id,varchar,723.0,Max length is 4
2532,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2533,branch_division_id,varchar,723.0,Max length is 4
2533,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2534,branch_division_id,varchar,1851.0,Max length is 4
2534,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2535,branch_division_id,varchar,827.0,Max length is 4
2535,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2536,branch_division_id,varchar,1853.0,Max length is 4
2536,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2537,branch_division_id,varchar,1853.0,Max length is 4
2537,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2538,branch_division_id,varchar,810.0,Max length is 4
2538,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2539,branch_division_id,varchar,1851.0,Max length is 4
2539,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2540,branch_division_id,varchar,1809.0,Max length is 4
2540,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2541,branch_division_id,varchar,7714.0,Max length is 4
2541,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2542,branch_division_id,varchar,723.0,Max length is 4
2542,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2543,branch_division_id,varchar,723.0,Max length is 4
2543,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2544,branch_division_id,varchar,723.0,Max length is 4
2544,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2545,branch_division_id,varchar,842.0,Max length is 4
